0,A2AQR4
1,Q6PGF3
2,Q99PM3
3,B2RWS6
4,Q04207
5,Q9JHD1
6,Q9WVB3
7,B9EHI3
8,P36898
9,D3Z4R4
10,P22361
11,Q80W03
12,Q9JL10
13,E0CXP6
14,Q8VD21
15,Q9D1C8
16,E9Q5M9
17,S4R1L6
18,E9Q7L6
19,O55144
20,Q07279
21,E9QAP1
22,P56477
23,F8VQ05
24,P60335
25,G3X8Y3
26,Q61545
27,O08537
28,Q8VH51
29,O08609
30,Q2VPU4
31,O08674
32,O08686
33,P01101
34,P05627
35,P16951
36,Q01147
37,O08740
38,P97760
39,Q99NE9
40,O08791
41,Q8K4J2
42,O08856
43,Q920Q8
44,O08915
45,P30561
46,O09000
47,O35973
48,O54915
49,O88522
50,Q8BKT3
51,Q8BSY3
52,Q8CFD5
53,Q8CFN5
54,Q8R1B8
55,Q8VDQ8
56,Q921X6
57,Q923E4
58,Q924Z4
59,Q925H1
60,Q9D0D5
61,Q9WUU6
62,Q9Z148
63,O09105
64,Q61909
65,O09106
66,Q60973
67,Q921E6
68,O35134
69,P03966
70,P15806
71,P25425
72,P61458
73,O35137
74,O35602
75,O88609
76,O88621
77,P18111
78,P23812
79,P24610
80,P31310
81,P31311
82,P35582
83,P40764
84,P43241
85,P43267
86,P48432
87,P62515
88,P63013
89,P70217
90,P70321
91,P70396
92,P70662
93,P80206
94,Q07424
95,Q08624
96,Q63934
97,Q64317
98,Q8K284
99,Q9JKD8
100,Q9WUI0
101,O35160
102,O35185
103,O35284
104,P09450
105,O35317
106,O35437
107,O70477
108,P09079
109,P09092
110,P09631
111,P09632
112,P10628
113,P10629
114,P28357
115,P28359
116,P32043
117,P97367
118,Q60954
119,Q8BG99
120,Q8K5B8
121,O35426
122,P58929
123,P41778
124,O35613
125,Q9JI44
126,Q9Z125
127,O35627
128,P28705
129,O35719
130,P97929
131,P58462
132,O35984
133,O54714
134,P70338
135,Q08874
136,O54790
137,Q60795
138,O54791
139,Q9D071
140,O54826
141,P42225
142,Q91X45
143,O54863
144,Q9Z1A1
145,O54941
146,O55026
147,O70439
148,O70306
149,P15307
150,P19091
151,P20067
152,P42586
153,P97471
154,P97480
155,Q5SXJ3
156,Q61221
157,Q62219
158,Q64163
159,Q64287
160,Q64701
161,Q69ZU8
162,Q7TNV0
163,Q99LJ2
164,Q9CQZ1
165,Q9CXU1
166,Q9D8X5
167,Q9D902
168,Q9DBA9
169,Q9EPZ6
170,Q9EQN3
171,O55201
172,P63271
173,Q925E7
174,O55203
175,P25801
176,P53776
177,P61372
178,P61375
179,P61969
180,P63006
181,Q3U4B1
182,Q8BZL8
183,Q8C9M8
184,Q924W9
185,Q9CXV0
186,Q9CYZ8
187,Q9D0P5
188,Q9JKU8
189,Q9WUH2
190,Q9Z0S2
191,O70137
192,P97875
193,O70191
194,P53568
195,O70220
196,Q9D032
197,O70273
198,Q9EST8
199,O70343
200,Q9Z0Y9
201,O70433
202,P22561
203,O70445
204,O70479
205,O88196
206,Q6P8Z1
207,O88282
208,P41183
209,O88508
210,Q9CWR8
211,Q60769
212,Q61187
213,Q6T264
214,P42582
215,Q62432
216,Q8BUN5
217,O88643
218,Q64729
219,O88708
220,P15927
221,P25206
222,P49717
223,P97310
224,P97311
225,Q60862
226,Q62193
227,Q9QZ41
228,Q9WUJ8
229,Q9WUV0
230,Q9Z1N2
231,O88712
232,P70288
233,Q99N13
234,O88898
235,P02340
236,Q9JJP2
237,O89033
238,Q61881
239,P00493
240,Q06507
241,P45481
242,Q60520
243,Q9Z1E3
244,Q9Z2U2
245,P28574
246,Q9JHE6
247,P42227
248,P54841
249,P06537
250,P22605
251,Q8CGW9
252,P06798
253,P06876
254,P08046
255,Q61127
256,P08730
257,Q9DCV7
258,P08775
259,P09021
260,P09022
261,P47242
262,P09023
263,P09027
264,P32443
265,Q91W50
266,P09084
267,P32442
268,P60898
269,Q9Z2S7
270,Q9D275
271,P09528
272,P29391
273,P50220
274,P63015
275,Q6ZPI0
276,Q8R4I4
277,P42232
278,P70434
279,Q61179
280,Q78FW7
281,Q9WV74
282,P10078
283,P70255
284,P10085
285,P41136
286,P10166
287,P10284
288,P10518
289,P10751
290,Q8BI67
291,P11103
292,P27790
293,P11416
294,Q8CBD1
295,P12815
296,P70389
297,Q921R8
298,Q9CQ85
299,Q9D0C1
300,P13297
301,P29037
302,P13405
303,Q00322
304,Q08775
305,P13864
306,P15037
