From	To
P10078	Zfp28
P70255	Nfic
P10085	Myod1
P41136	Id2
P10166	Mycl
P10284	Hoxb4
P10518	Alad
P10751	Zfp11
Q8BI67	Znf473
P11103	Parp1
P27790	Cenpb
P11416	Rara
Q8CBD1	Nrip1
P12815	Pdcd6
P70389	Igfals
Q921R8	Slc41a3
Q9CQ85	Timm22
Q9D0C1	Rnf115
P13297	Msx1
P29037	Tbp
P13405	Rb1
Q00322	Cebpd
Q08775	Runx2
P13864	Dnmt1
P15037	Ets2
P15066	Jund
P15209	Ntrk2
Q3UA06	Trip13
P48754	Brca1
P70271	Pdlim4
P79621	Ciita
P97358	Taf1b
Q02067	Ascl1
Q60899	Elavl2
Q62392	Phlda1
Q7TNK1	Rfx4
Q8BGJ0	Zdhhc15
Q8BVL5	Zfp277
Q8C0J6	Sowahc
Q9CPV7	Zdhhc6
Q9EP71	Rai14
Q9JI90	Rnf14
Q9JJR7	Ascl3
Q9QXN3	Trip4
Q9WTU0	Phf2
Q9WVP6	Papolb
P49718	Mcm5
P16110	Lgals3
Q62448	Eif4g2
P17208	Pou4f1
P19785	Esr1
P17433	Spi1
P17679	Gata1
Q04742	Emx1
P17919	Hoxb1
P97334	Nkx2-3
S4R1G9	Zfp82
P18469	H2-Eb1
Q9Z324	Dpm2
Q61026	Ncoa2
Q60722	Tcf4
Q61286	Tcf12
P20108	Prdx3
P22091	Tal1
P22227	Zfp42
P27889	Hnf1b
Q8C0D7	Ing4
P23204	Ppara
P28700	Rxra
P23708	Nfya
P33242	Nr5a1
P23772	Gata3
Q925J9	Med1
P61202	Cops2
P61216	Taf13
Q07916	Pou6f1
Q8BZZ3	Wwp1
Q99M28	Rnps1
P23950	Zfp36l1
Q9Z1X9	Cdc45
Q9CXE0	Prdm5
P25799	Nfkb1
Q04863	Relb
Q8C5D8	Pias2
Q8CE64	Znf276
Q9WTK5	Nfkb2
P25976	Ubtf
Q8K202	Polr1e
P26450	Pik3r1
P27048	Snrpb
P97801	Smn1
P27577	Ets1
P27782	Lef1
Q9JM05	Pias4
P50538	Mxd1
P50540	Mxi1
Q80US8	Mxd3
Q91VN7	Mxd4
P28653	Bgn
Q9R1Z7	Pts
P35396	Ppard
P37242	Thrb
Q60644	Nr1h2
Q925B0	Pawr
P97357	Taf1a
Q6PDZ2	Taf1c
P63017	Hspa8
Q8BQC3	Igdcc3
P30051	Tead1
Q9EPK5	Wwtr1
P31245	Hoxa2
Q6PDQ2	Chd4
Q9CPN8	Igf2bp3
Q9D738	Asb12
Q9ESG8	Zdhhc16
Q9JKB3	Ybx3
P62869	Elob
Q61645	Hr
Q9JJ64	Hmgxb3
P31315	Gsx1
P31316	Gsx2
P32020	Scp2
Q04887	Sox9
Q99ME7	Tbx19
P34056	Tfap2a
Q91ZK0	Tfap2d
P35545	Fau
P35639	Ddit3
P53566	Cebpa
P35922	Fmr1
P42669	Pura
P37172	Acvr1
Q9JIQ3	Diablo
P40338	Vhl
P97481	Epas1
P40645	Sox6
Q8VI67	Sp7
P41133	Id3
P41139	Id4
P41230	Kdm5c
Q9DB42	Znf593
Q9QX99	Tlx1
P43120	Hhex
P43136	Nr2f6
Q9R164	Zfp111
Q6PCN7	Hltf
P45448	Nr5a2
Q62227	Nr0b2
P70700	Polr1b
Q6P3E7	Hdac10
Q8BHZ4	Znf592
P46684	Zic1
Q62520	Zic2
P48281	Vdr
P48301	Tead2
P48379	Rfx2
Q61660	Foxj1
Q99MD8	Mynn
P81270	Erg
Q9JKN5	Olig1
P48972	Mybl2
P81183	Ikzf2
P48985	Atoh1
P49070	Camlg
Q9D882	Fam241b
P49710	Hcls1
Q8VEE4	Rpa1
Q9CQ71	Rpa3
Q9JK30	Orc3
Q9Z0H0	Cdc7
Q00288	Pax8
Q04744	Emx2
Q61169	Gata6
Q91V10	Vsx1
Q91ZW3	Smarca5
P51450	Rorc
P51942	Matn1
P52633	Stat6
Q8C092	Taf5
P55098	Pex2
P63166	Sumo1
P56389	Cda
P56873	Znrd2
P80313	Cct7
Q7TN02	Med26
P56931	E2f2
P58774	Tpm2
Q8BMZ5	Tsen34
Q640N1	Aebp1
Q811S7	Ubp1
Q8CCE9	E4f1
Q9D2H6	Sp2
Q9WTP9	Vax2
P60122	Ruvbl1
Q9WTM5	Ruvbl2
P62880	Gnb2
Q9DCP6	0610012G03Rik
Q9JLT4	Txnrd2
Q99JX1	Taf11
Q8VHS6	Asb15
Q923B3	Nrif1
Q9CTY1	Brpf1
Q9CWU2	Zdhhc13
Q9WTN3	Srebf1
Q9WV72	Asb3
P62322	Lsm5
Q9CQQ8	Lsm7
P62325	Btg1
Q60809	Cnot7
P62340	Tbpl1
P62509	Esrrg
Q8BW74	Hlf
Q61412	Vsx2
Q9WUF3	Casp8ap2
P70210	Tead3
Q8CDC7	Zbtb9
P70281	Sycp3
Q62029	Pabpc2
P70318	Tial1
P70340	Smad1
Q9R0G7	Zeb2
P70436	Dlx4
Q8K439	Znf263
P70660	Neurog1
Q01822	Hoxd1
Q8K5B9	Tgif2lx2
Q91YQ3	Csdc2
Q921F2	Tardbp
Q9JL60	Gmeb1
Q9WUL8	Cited4
P84244	H3-3a
