Cdc45,Q9Z1X9,4.0258,4.5012,3.3602,3.7376,0.9005,0.513,1.6266,0.7907,0.56,0.8094,0.9193,0.7036,2.23,2.331,2.0429,2.9281,1.8849,1.335,1.5044,1.3948,1.004,1.3866,1.2334,1.2825,0.8692,0.5423,0.5365,0.7076,0.5891,1.0205,0.8315,0.684,4.7174,4.4136,4.1504,3.8981,2.0061,1.8186,3.0211,3.0525,2.0358,1.1939,1.7733,1.6183,6.8214,7.1763,7.1288,8.3665,5.8834,5.8833,9.0155,7.9133,12.9603,25.0591,2.1745,1.3227,1.7765,2.0513,22.9724,24.9343,29.6485,31.8472,26.205,31.3578,4.5323,13.7287,0.6882
Tbx4,Q8BSY3,0.1221,0.1341,0.0,0.0484,0.348,0.0567,0.0,0.0,0.051,0.0964,0.1528,0.0909,0.3558,0.8146,0.6484,0.5715,0.0,0.0395,0.1001,0.1305,0.0532,0.0,0.0,0.0481,0.0483,0.0431,0.0,0.0,0.0,0.0464,0.0917,0.0,0.0,0.0994,0.0784,0.0799,15.6342,24.8756,9.8004,13.0092,0.7852,0.6509,0.3732,0.8241,0.9202,0.4011,0.0,0.1095,0.0802,0.159,0.0472,0.0448,0.0,0.0,0.4434,0.5757,0.3047,0.4523,0.3215,0.5818,0.0492,0.0684,0.0,0.0,0.3438,0.127,0.1479
Lhx2,Q9Z0S2,0.0,0.1632,0.0,0.0554,19.8263,21.8539,22.3079,23.9521,22.2388,19.218,17.226,19.7606,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0335,0.0,0.0,0.0,0.0,0.4653,0.8297,0.3253,0.9352,0.644,0.4536,0.448,1.4869,0.0,0.2803,0.0447,0.0,0.0,0.0,0.0467,0.0,0.0,0.0,0.0,0.1281,0.0,0.2715,0.0,0.0639,0.0,0.0,0.0572,0.254,0.1019,0.0515,0.0,0.0,0.0,0.0,1.7864,1.447,0.2363,0.2483,0.1256,0.4877,0.0,0.0,0.0
Bcl6b,O88282,5.1349,3.8215,8.117,11.9915,0.7103,0.4278,0.8479,0.4575,0.2437,0.5482,0.4375,0.8451,0.9782,0.9708,0.591,1.0438,9.1333,10.8995,8.0949,9.5302,2.8564,3.2025,4.178,5.1725,0.5931,0.7284,0.4784,0.3616,0.4775,0.7651,0.3328,0.3462,0.4745,0.5657,0.5991,0.5679,5.3674,8.2615,4.332,6.0016,1.405,2.1832,2.0804,4.1073,2.9567,4.9986,0.5143,0.9174,0.3393,0.8022,2.3353,3.262,3.0433,1.9046,1.1364,0.5257,0.5036,0.6981,0.9746,1.9106,0.1895,0.1303,0.2563,0.1691,2.1282,5.7499,0.3984
Dazap2,Q9DCP9,164.807,151.63,183.721,163.48,84.6549,87.5527,87.6909,81.0167,81.4201,84.6905,83.0696,87.7572,103.143,119.173,112.262,110.485,124.361,113.118,118.313,125.216,165.429,161.641,162.447,166.25,76.7062,78.2606,82.7455,72.7264,75.6893,81.6626,76.9465,78.0316,161.196,228.964,218.739,248.805,224.765,203.512,199.977,228.542,83.2047,63.5266,76.884,57.3086,152.389,142.141,217.487,207.971,211.098,212.531,277.83,266.151,264.727,240.598,132.614,114.466,138.663,117.026,97.7313,121.853,182.958,175.251,180.467,170.935,220.088,136.023,67.8176
Sox9,Q04887,0.4543,0.442,0.3428,0.4374,3.6519,3.5057,3.9338,4.4868,3.1728,3.0421,4.1434,2.5909,0.0764,3.8372,1.9829,1.1883,0.5301,0.3994,1.0816,0.8886,0.1562,0.1882,0.2328,0.2513,0.5819,0.6154,0.5257,0.417,0.3808,0.4755,0.2213,0.5537,4.322,5.9424,6.8108,5.5671,0.175,0.1678,0.2395,0.1443,0.3028,0.4388,0.7569,0.4423,3.417,1.1592,2.8,3.2834,2.1221,1.4452,0.143,0.1701,0.1999,0.1353,5.6085,4.7322,6.7552,5.9797,4.3231,6.1598,1.268,1.1223,1.0405,1.0375,5.2819,1.8272,2.9821
Hnrnpd,Q60668,58.9581,61.7161,62.243,65.0137,65.1542,70.7307,66.021,68.8901,66.496,74.6304,65.7547,64.4945,62.6306,44.7092,52.0073,69.0839,32.7761,31.4312,25.4951,37.2993,47.4313,45.7647,30.8668,42.3691,29.5921,31.4768,20.4178,29.8641,14.5441,22.9545,14.9146,18.2566,53.1542,70.4043,80.4562,80.5206,57.5697,62.1651,57.2754,47.9308,33.2251,28.243,31.3368,25.8782,102.869,117.252,72.7117,81.2247,57.5115,51.4527,131.952,145.792,153.256,171.46,44.1949,37.396,40.1733,37.4412,71.0857,85.2233,171.763,211.469,199.408,178.767,100.714,135.059,22.4717
Hoxb6,P09023,34.3919,32.9137,29.8087,25.8336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.834,2.4261,4.7367,5.7749,0.1047,0.153,0.0,0.0,14.0184,12.1675,15.9743,11.3329,0.0,0.0,0.0,0.2623,0.0578,0.0932,0.0,0.0,1.4549,1.3198,0.756,1.0479,2.0191,2.5204,1.3042,1.9162,0.4298,0.1896,0.3537,0.2314,13.4687,4.0543,1.5497,1.1114,1.5075,0.5986,0.3712,0.3537,0.327,0.4208,0.2262,2.1989,0.7546,0.867,0.2463,0.2032,0.2481,0.0,0.1325,0.0,29.1028,19.4884,23.9993
Kat2b,Q9JHD1,22.1711,22.9672,21.746,20.2813,8.6248,5.7927,5.7753,6.7097,9.4944,5.8698,7.3769,6.6304,12.962,14.1399,16.9937,16.3747,24.0278,20.3153,20.4357,22.216,16.977,15.5395,16.5187,16.4728,26.4165,22.6645,23.1651,25.2393,22.8958,21.5088,22.8723,20.4721,11.6245,15.2088,15.6114,14.8919,23.2571,25.8141,22.6552,23.405,20.3394,27.4028,18.3302,19.1716,18.2131,17.716,10.3102,8.9968,12.5897,9.9204,14.098,13.8841,15.462,14.084,13.9362,15.6567,18.0221,14.4366,11.5965,12.2812,22.78,21.8328,24.7256,24.8428,18.1752,14.0871,9.5308
Dnmt3l,Q9CWR8,32.6788,23.6091,20.68,20.6488,0.0,0.1516,0.1244,0.1291,0.0,0.261,0.0,0.0,3.6733,1.6891,3.345,2.1533,0.1357,0.4957,1.111,0.3421,0.1403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1242,0.399,0.8288,0.541,0.2547,0.1725,0.6627,0.5089,0.1457,0.0,0.121,0.0,1.4987,1.1512,0.0,0.148,0.4343,0.3705,0.1277,0.2408,0.2395,0.1227,0.2365,1.1398,0.3264,0.0,5.4451,3.2706,0.7542,0.7392,1.1079,0.9442,1.4396,2.2162,0.2663
Rpa1,Q8VEE4,17.2173,19.4431,13.014,18.9317,17.0533,16.5671,16.4073,13.2539,20.4452,15.742,15.4035,16.3528,19.6598,17.9081,14.5896,19.6718,12.5714,12.3369,12.9064,15.1834,16.5142,13.3099,15.1236,15.0918,6.3871,9.355,8.633,9.3406,7.5201,8.3161,7.1265,7.8425,11.5095,15.2636,12.211,13.4153,20.5988,22.8324,12.3219,16.3829,19.3126,23.1549,15.3823,19.3514,33.6392,29.846,14.0964,13.8083,11.921,10.3718,46.3798,46.1997,52.6357,66.9268,13.518,7.0636,12.3096,9.1082,98.796,103.576,63.5623,70.2947,60.917,68.3921,18.6031,38.8041,6.8155
Fmr1,P35922,30.6996,26.1155,30.4857,27.8761,30.6047,31.4955,33.5205,30.9068,29.569,27.7579,27.6081,32.4024,16.5286,14.4676,18.307,17.1097,9.0221,8.4261,9.475,10.5026,18.0444,19.8203,18.3832,17.9298,9.5401,8.622,8.6804,9.6936,7.0797,6.4317,6.6351,7.925,17.4528,26.0325,29.9215,31.3863,34.586,24.4817,32.8822,29.6929,10.4242,5.7395,14.0275,7.6965,35.7972,38.2003,20.1599,17.2671,15.7306,15.6186,30.8463,35.2349,31.9706,34.7379,16.4771,13.523,17.4526,13.5997,20.5727,22.366,58.2315,64.6363,64.4181,63.9565,29.4332,39.6925,3.1353
Hoxa10,P31310,0.9458,0.3621,1.0602,0.3958,0.0,0.1839,0.0,0.0,0.0,0.0,0.0,0.2186,0.0,0.0,0.0,0.0,0.2041,0.0,0.0646,0.0,27.2043,31.4588,30.5356,29.2482,0.1428,0.1277,0.0,0.0,0.0,0.0,0.0,0.0807,29.768,29.6673,32.9191,29.0234,0.0,0.1766,0.0763,0.1463,11.6591,9.445,9.5023,9.8465,1.9246,1.3773,0.1399,0.0,0.0764,0.0,0.0,0.3788,0.1731,0.2633,0.2717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1037,0.143,58.5931,164.249,9.8913
Hoxa4,P06798,0.4117,1.2583,0.3886,1.2206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9757,1.588,1.4532,1.2991,0.3207,0.3186,0.2008,0.3224,2.7568,1.5616,2.0789,0.7163,0.096,0.0,0.0841,0.1516,0.1524,0.079,0.0,0.0,0.566,0.4229,0.4074,0.3328,1.1949,2.3873,1.6835,1.3692,1.003,1.4107,1.0397,1.9474,1.5604,0.1453,0.2403,0.4589,0.5928,0.2529,0.5025,0.2837,0.361,0.6335,0.656,0.6004,1.2661,1.0655,30.4857,33.3089,0.3146,0.4388,0.6694,0.6588,0.0,0.2721,0.0
Mxd1,P50538,2.6701,3.3491,2.6782,2.858,6.2696,6.0842,6.1821,5.8641,5.6901,6.6804,5.5759,6.7717,18.0393,25.4868,21.0043,18.9712,1.7853,1.5796,2.0673,2.1398,3.3755,3.7468,2.9837,3.0391,1.2748,1.0107,0.9149,0.8131,0.7322,1.0295,0.9255,0.9162,95.3678,128.375,133.25,127.778,10.4127,9.6862,7.9102,8.7314,4.1456,2.5705,6.8584,1.5192,6.2594,5.9485,115.808,84.1572,168.086,150.546,10.4461,10.3678,18.1015,30.9088,36.4979,25.9627,53.8612,24.699,16.4881,14.1917,10.4909,10.5992,13.9589,10.7261,14.7788,2.7394,1.8471
Fndc5,Q8K4Z2,2.6981,3.0939,1.4356,1.3628,30.6416,23.6735,27.4879,19.4743,30.1203,30.3641,26.4992,27.5909,1.8675,1.7993,1.5816,2.6174,87.4366,99.6561,91.6208,82.2962,0.8227,1.3112,0.9164,1.0864,0.2393,0.3892,0.2776,0.2958,0.0,0.0932,0.0928,0.247,4.1608,3.7689,5.985,5.7739,0.3309,2.715,1.1514,0.7402,16.5133,33.018,8.9019,26.9179,19.0941,9.7043,0.1213,0.4476,0.366,0.4024,1.3281,1.6717,1.2942,1.1957,0.8255,2.0266,1.1446,1.6601,10.8662,9.4057,0.1972,0.2718,0.7503,0.4442,2.996,13.5326,0.2546
